"","month","temp","wind","rain"
"1","mar",8.2,6.7,0
"2","oct",18,0.9,0
"3","oct",14.6,1.3,0
"4","mar",8.3,4,0.2
"5","mar",11.4,1.8,0
"6","aug",22.2,5.4,0
"7","aug",24.1,3.1,0
"8","aug",8,2.2,0
"9","sep",13.1,5.4,0
"10","sep",22.8,4,0
"11","sep",17.8,7.2,0
"12","sep",19.3,4,0
"13","aug",17,6.7,0
"14","sep",21.3,2.2,0
"15","sep",26.4,4.5,0
"16","sep",22.9,5.4,0
"17","mar",15.1,5.4,0
"18","oct",16.7,4.9,0
"19","mar",15.9,4,0
"20","apr",9.3,4.5,0
"21","sep",18.3,2.7,0
"22","sep",19.1,2.7,0
"23","jun",21,4.5,0
"24","aug",19.5,5.8,0
"25","aug",23.7,5.8,0
"26","aug",16.3,5.4,0
"27","sep",19,5.8,0
"28","sep",19.4,1.3,0
"29","sep",30.2,2.7,0
"30","sep",22.8,3.6,0
"31","sep",25.4,3.6,0
"32","sep",11.2,7.6,0
"33","sep",20.6,1.8,0
"34","sep",17.7,3.6,0
"35","sep",21.2,2.7,0
"36","sep",18.2,4.5,0
"37","oct",21.7,4.5,0
"38","oct",11.3,5.4,0
"39","oct",17.8,4,0
"40","mar",14.1,2.7,0
"41","jul",23.3,3.1,0
"42","aug",18.4,6.7,0
"43","aug",16.6,5.4,0
"44","sep",19.6,2.7,0
"45","sep",12.9,4.9,0
"46","sep",25.9,4,0
"47","sep",14.7,3.6,0
"48","jul",23,3.1,0
"49","mar",11.8,1.8,0
"50","mar",11,5.8,0
"51","sep",20.8,1.3,0
"52","aug",21.5,2.2,0
"53","aug",20.4,4.9,0
"54","aug",20.4,4.9,0
"55","aug",17.6,3.6,0
"56","sep",27.7,2.2,0
"57","sep",17.8,4.9,0
"58","oct",13.8,2.7,0
"59","feb",13.9,5.4,0
"60","feb",12.3,0.9,0
"61","mar",11.5,5.8,0
"62","mar",5.5,6.3,0
"63","aug",18.8,4.9,0
"64","aug",20.8,2.7,0
"65","aug",23.1,3.1,0
"66","aug",18.6,4.5,0
"67","sep",23,4.5,0
"68","sep",19.6,5.4,0
"69","sep",19.6,6.3,0
"70","mar",17.2,4.5,0
"71","mar",15.8,7.6,0
"72","sep",17.7,3.6,0
"73","mar",15.6,6.3,0
"74","aug",17.3,4.5,0
"75","sep",27.6,1.3,0
"76","feb",6.7,3.1,0
"77","feb",15.7,3.1,0
"78","mar",8.3,3.1,0
"79","aug",14.7,2.7,0
"80","aug",21.6,6.7,0
"81","aug",19.5,6.3,0
"82","aug",17.9,2.2,0
"83","aug",18.6,4.5,0
"84","aug",16.6,0.9,0
"85","aug",20.2,3.6,0
"86","sep",21.5,0.9,0
"87","sep",25.4,2.2,0
"88","sep",22.4,2.2,0
"89","sep",25.3,3.6,0
"90","mar",17.4,4.9,0
"91","aug",14.7,5.8,0
"92","mar",17.4,5.4,0
"93","aug",20.8,6.3,0
"94","aug",18.2,4.9,0
"95","aug",23.4,2.7,0
"96","sep",17.8,1.3,0
"97","feb",12.7,1.8,0
"98","mar",17.4,5.4,0
"99","aug",11.6,4.5,0
"100","aug",19.8,5.4,0
"101","aug",19.8,5.4,0
"102","aug",14.4,5.4,0
"103","aug",20.1,4,0
"104","sep",24.1,4.5,0
"105","jan",5.3,3.1,0
"106","mar",12.7,6.3,0
"107","mar",18.2,3.1,0
"108","aug",21.4,3.1,0
"109","sep",20.3,3.1,0
"110","sep",17.4,5.4,0
"111","mar",13.7,5.8,0
"112","mar",18.8,4.5,0
"113","sep",22.8,3.6,0
"114","sep",18.9,2.7,0
"115","mar",15.8,7.6,0
"116","mar",15.5,6.3,0
"117","mar",11.6,6.3,0
"118","mar",15.2,4.9,0
"119","mar",10.6,4,0
"120","aug",19.6,3.1,0
"121","aug",10.3,2.2,0
"122","aug",17.1,5.4,0
"123","sep",22.5,5.4,0
"124","sep",17.9,3.1,0
"125","sep",19.8,5.4,0
"126","oct",20.6,5.4,0
"127","mar",9,2.2,0
"128","sep",17.2,3.1,0
"129","oct",15.9,3.6,0
"130","oct",15.4,0.9,0
"131","feb",15.4,2.7,0
"132","mar",14,3.1,0
"133","mar",10.6,4.9,0
"134","sep",17.6,3.1,0
"135","mar",14.9,2.7,0
"136","aug",17.6,5.8,0
"137","sep",17.2,1.3,0
"138","sep",15.6,3.1,0
"139","jul",18,2.7,0
"140","sep",21.7,2.2,0
"141","sep",21.9,1.8,0
"142","aug",23.3,4.5,0
"143","aug",21.2,8.9,0
"144","jul",16.6,5.4,0
"145","aug",23.8,5.4,0
"146","aug",27.4,4,0
"147","mar",13.2,5.4,0
"148","sep",24.2,3.6,0
"149","aug",17.4,6.7,0
"150","sep",23.7,4.5,0
"151","jun",23.2,5.4,0
"152","jul",24.8,2.2,0
"153","jul",24.6,1.8,0
"154","sep",20.1,4.9,0
"155","sep",29.6,2.7,0
"156","aug",16.4,1.3,0
"157","sep",28.6,2.2,0
"158","aug",18.4,3.6,0
"159","aug",20.5,4,0
"160","sep",19,5.8,0
"161","mar",16.1,3.1,0
"162","aug",20.3,4,0
"163","mar",15.2,8.5,0
"164","sep",17.8,1.8,0
"165","sep",17.8,2.2,0
"166","mar",5.3,4.5,0
